Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,2587857.0,2738373.0,2939322.0,3155240.0,3386029.0,3633445.0,3897354.0,4181495.0,4485455.0,4805650.0,5128453.0,5402404.0,5700993.0,6085016.0,6590105.0,7347526.0,8173432.0,9087425.0,10104153.0,11222236.0,12464409.0,13613326.0,14356591.0,15141773.0,15956941.0,16789004.0,17630934.0,18485183.0,19366087.0,20275947.0,21227021.0,22129321.0,22933180.0,23779377.0,24658344.0,25552909.0,26449632.0,27383162.0,28374290.0,29409654.0,30476706.0,31727320.0,33207655.0,34711400.0,36243549.0,37777256.0,39247175.0,40699664.0,42125647.0,43585126.0,45202909.0,46903386.0,48658361.0,50463354.0,52301622.0,54148316.0,56057220.0,58016080.0,59960707.0,61911343.0,63916296.0,65957486.0,67979820.0
Bulgaria,2918796.0,3080500.0,3244762.0,3411401.0,3582451.0,3753817.0,3900528.0,4030377.0,4165384.0,4304295.0,4440047.0,4555020.0,4667082.0,4782137.0,4905140.0,5019834.0,5126058.0,5232150.0,5317153.0,5402887.0,5503013.0,5566106.0,5627272.0,5685942.0,5743706.0,5787617.0,5822722.0,5862424.0,5900092.0,5861908.0,5786939.0,5759256.0,5726692.0,5704408.0,5704237.0,5697800.0,5687307.0,5671407.0,5652100.0,5638810.0,5629167.0,5539603.0,5448708.0,5433321.0,5419782.0,5406009.0,5391557.0,5378166.0,5366322.0,5357245.0,5347166.0,5337678.0,5331472.0,5326274.0,5320503.0,5310996.0,5298039.0,5283539.0,5269340.0,5256027.0,5248079.0,5228804.0,4936942.0
Bahrain,132281.0,137478.0,142770.0,148180.0,153727.0,159235.0,164710.0,170119.0,175545.0,180998.0,186445.0,194082.0,204884.0,216864.0,229332.0,242277.0,255655.0,269405.0,283456.0,297750.0,312198.0,325786.0,338351.0,351107.0,364509.0,378580.0,393278.0,408510.0,424148.0,440052.0,456052.0,472927.0,490140.0,507171.0,524389.0,541760.0,559261.0,576819.0,594335.0,611679.0,628716.0,645321.0,661316.0,687846.0,736762.0,797497.0,858852.0,920746.0,982987.0,1044748.0,1075702.0,1075052.0,1087280.0,1120807.0,1165795.0,1212293.0,1255867.0,1299292.0,1328001.0,1335714.0,1322423.0,1311407.0,1321226.0
"Bahamas, The",68370.0,72675.0,77290.0,82138.0,86938.0,91752.0,96907.0,102401.0,108235.0,114172.0,119594.0,124363.0,128810.0,133051.0,137213.0,141351.0,145601.0,150039.0,154551.0,159049.0,163567.0,168330.0,173137.0,178114.0,183255.0,188568.0,193989.0,199400.0,204856.0,210493.0,216105.0,221031.0,226405.0,232024.0,237373.0,242522.0,247545.0,252467.0,257399.0,262059.0,266534.0,270455.0,274189.0,278015.0,281937.0,285957.0,290101.0,294366.0,298736.0,303224.0,307677.0,311718.0,315323.0,318531.0,321687.0,324941.0,327995.0,330887.0,333682.0,336316.0,338367.0,340051.0,342304.0
Bosnia and Herzegovina,621187.0,654625.0,692306.0,731399.0,771891.0,813544.0,856403.0,900306.0,945175.0,990968.0,1037871.0,1084215.0,1126672.0,1169775.0,1213679.0,1258432.0,1304003.0,1350089.0,1396785.0,1444183.0,1492742.0,1536895.0,1564588.0,1592743.0,1620703.0,1647641.0,1673507.0,1698415.0,1722083.0,1743871.0,1763972.0,1781954.0,1705460.0,1584921.0,1523969.0,1530853.0,1607258.0,1677468.0,1718243.0,1747131.0,1771376.0,1791152.0,1805904.0,1812822.0,1808276.0,1800058.0,1797002.0,1787553.0,1771372.0,1754255.0,1736255.0,1717279.0,1697524.0,1682852.0,1672688.0,1662529.0,1654095.0,1646947.0,1640392.0,1634179.0,1626683.0,1616664.0,1611622.0
Belarus,2656234.0,2772677.0,2895029.0,3022385.0,3153963.0,3282735.0,3415027.0,3551335.0,3690749.0,3831426.0,3978504.0,4133823.0,4290972.0,4447749.0,4602886.0,4741013.0,4877627.0,5019081.0,5167027.0,5309728.0,5448102.0,5591406.0,5734993.0,5879814.0,6025280.0,6167842.0,6312729.0,6457896.0,6578021.0,6669994.0,6723034.0,6766199.0,6821128.0,6876034.0,6907388.0,6924262.0,6939798.0,6949361.0,6956101.0,6966778.0,6983033.0,6995457.0,6998521.0,6996348.0,6994710.0,6992229.0,6993921.0,7005597.0,7024602.0,7049739.0,7081770.0,7114020.0,7150971.0,7195632.0,7246350.0,7302153.0,7354014.0,7390686.0,7418413.0,7445754.0,7455467.0,7433696.0,7412540.0
Belize,49383.0,50366.0,51374.0,52497.0,53725.0,55020.0,56376.0,57778.0,59191.0,60535.0,61617.0,62536.0,63335.0,64057.0,64733.0,65624.0,66752.0,67893.0,69043.0,70255.0,71658.0,73167.0,74668.0,76155.0,77640.0,79134.0,80633.0,82134.0,83643.0,85157.0,86666.0,88142.0,89553.0,90968.0,92535.0,94501.0,96975.0,99880.0,102992.0,106084.0,109140.0,112590.0,116126.0,119715.0,123356.0,127046.0,130783.0,134557.0,138353.0,142147.0,145682.0,149043.0,152506.0,156082.0,159731.0,163403.0,167109.0,170864.0,174696.0,178462.0,181762.0,184818.0,188030.0
Bermuda,44400.0,45500.0,46600.0,47700.0,48900.0,50100.0,51000.0,52000.0,53000.0,54000.0,55000.0,54600.0,54200.0,53800.0,53400.0,53000.0,53200.0,53400.0,53600.0,53800.0,54670.0,55050.0,55449.0,55930.0,56423.0,56898.0,57382.0,57849.0,58347.0,58841.0,59326.0,59021.0,58595.0,58910.0,59320.0,59746.0,60129.0,60497.0,60943.0,61285.0,61833.0,62504.0,62912.0,63325.0,63740.0,64154.0,64523.0,64888.0,65273.0,65636.0,65124.0,64564.0,64798.0,65001.0,65138.0,65237.0,64554.0,63873.0,63918.0,63911.0,63893.0,63764.0,63532.0
Bolivia,1362957.0,1402588.0,1443527.0,1485804.0,1529467.0,1574471.0,1621045.0,1669227.0,1719093.0,1770663.0,1824005.0,1879151.0,1936169.0,1995019.0,2055844.0,2118489.0,2182910.0,2276768.0,2383285.0,2493421.0,2607109.0,2723887.0,2844104.0,2967644.0,3094953.0,3225956.0,3361104.0,3500517.0,3644465.0,3792215.0,3943852.0,4099087.0,4254823.0,4381764.0,4509675.0,4638230.0,4768214.0,4899823.0,5033397.0,5170101.0,5309144.0,5449335.0,5588053.0,5728610.0,5871784.0,6017470.0,6167232.0,6320212.0,6475247.0,6632261.0,6791318.0,6952386.0,7114992.0,7273140.0,7428682.0,7584842.0,7741971.0,7899666.0,8058094.0,8217386.0,8369995.0,8513008.0,8658337.0
Brazil,33724155.0,35497006.0,37324448.0,39220956.0,41179932.0,43189422.0,45243144.0,47335090.0,49468495.0,51643809.0,53879433.0,56192092.0,58570303.0,61013156.0,63515692.0,66077956.0,68713852.0,71427775.0,74227713.0,77104429.0,80059759.0,83074041.0,86139144.0,89250599.0,92396644.0,95559465.0,98732041.0,101904694.0,105079629.0,108248215.0,111405219.0,114526991.0,117617792.0,120701843.0,123798812.0,126904246.0,130010387.0,133232801.0,136457266.0,139649517.0,142795391.0,145337135.0,147774310.0,150126745.0,152434477.0,154731704.0,156991180.0,159201638.0,161361139.0,163480329.0,165594717.0,167726203.0,169827068.0,171885100.0,173941724.0,175989923.0,177986118.0,179958546.0,181939117.0,183878366.0,185636418.0,187143228.0,188517733.0
Barbados,85525.0,86115.0,86704.0,87262.0,87790.0,88282.0,88753.0,89205.0,89629.0,90062.0,90645.0,91630.0,92684.0,93774.0,94879.0,96007.0,97153.0,98320.0,99515.0,100706.0,101689.0,101436.0,101117.0,100755.0,100357.0,99904.0,99379.0,98790.0,98130.0,97433.0,96739.0,95994.0,95349.0,94697.0,94017.0,93291.0,92529.0,91749.0,90964.0,90219.0,89526.0,89244.0,89079.0,88901.0,88706.0,88499.0,88283.0,88086.0,87941.0,87786.0,87550.0,87329.0,87148.0,87016.0,86933.0,86898.0,86919.0,86992.0,87114.0,87298.0,87551.0,87864.0,88219.0
Brunei Darussalam,37041.0,40507.0,44169.0,48077.0,52251.0,56670.0,61330.0,66225.0,71348.0,76689.0,82239.0,87931.0,91707.0,95236.0,98824.0,102486.0,106210.0,110004.0,113892.0,117901.0,122053.0,126357.0,130909.0,135718.0,140720.0,145926.0,151324.0,156876.0,162533.0,168258.0,174020.0,179686.0,186085.0,192477.0,198884.0,205312.0,211759.0,218204.0,224651.0,231119.0,237635.0,244153.0,250333.0,256403.0,262394.0,268301.0,274122.0,279864.0,285549.0,291203.0,296885.0,302374.0,307643.0,312881.0,318042.0,323086.0,327973.0,332655.0,337123.0,341423.0,345650.0,349858.0,354056.0
Bhutan,7957.0,8611.0,9334.0,10132.0,11001.0,11952.0,12991.0,14129.0,15369.0,16724.0,18200.0,19806.0,21554.0,23449.0,25509.0,27745.0,30178.0,32810.0,35670.0,38755.0,42074.0,45633.0,49456.0,53561.0,57981.0,62703.0,67770.0,73197.0,78982.0,85141.0,91517.0,97425.0,98062.0,97871.0,102422.0,108340.0,115325.0,122503.0,130243.0,139224.0,149256.0,159736.0,170672.0,182062.0,193925.0,205398.0,213504.0,221313.0,229241.0,237280.0,245470.0,253839.0,262288.0,270775.0,279212.0,287484.0,295616.0,303711.0,311659.0,319355.0,326894.0,334381.0,341823.0
Botswana,15694.0,16241.0,16812.0,17410.0,18656.0,21920.0,25506.0,29654.0,34447.0,39957.0,46396.0,54360.0,60749.0,68229.0,76833.0,86507.0,97374.0,109522.0,123069.0,138108.0,154668.0,172492.0,199374.0,230420.0,265329.0,304307.0,347682.0,395409.0,447335.0,503070.0,562520.0,625294.0,659813.0,691445.0,723701.0,756087.0,788395.0,820640.0,853099.0,885903.0,919084.0,952535.0,979602.0,1005304.0,1031569.0,1058912.0,1087789.0,1139430.0,1193231.0,1248597.0,1305449.0,1362903.0,1408979.0,1453914.0,1500166.0,1548038.0,1598067.0,1650064.0,1702405.0,1754091.0,1804813.0,1852275.0,1899705.0
