Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,47808572.0,49144396.0,50522339.0,51938875.0,53388436.0,54866714.0,56367905.0,57922993.0,59510197.0,61061258.0,62413407.0,62973800.0,63645712.0,65059802.0,66357702.0,67352819.0,68206648.0,69050363.0,69903397.0,70685915.0,71465356.0,72541510.0,74198745.0,75903705.0,77577298.0,79170095.0,80640812.0,82005073.0,83322746.0,84617727.0,85920630.0,87113513.0,88338922.0,89639380.0,90956547.0,92240429.0,93427236.0,94656064.0,95976181.0,97345170.0,98716621.0,99943164.0,100932171.0,101791806.0,102546176.0,103135334.0,103381656.0,103436270.0,103295671.0,103121684.0,103188230.0,103307619.0,103432288.0,103566785.0,103659677.0,103681684.0,103727348.0,103777884.0,103723251.0,103604879.0,103504655.0,103398765.0,103206552.0
Bulgaria,4948578.0,4862618.0,4768184.0,4666744.0,4561889.0,4450351.0,4357529.0,4279849.0,4204219.0,4129877.0,4049527.0,3981375.0,3909118.0,3838830.0,3773605.0,3700908.0,3632541.0,3572033.0,3496879.0,3423053.0,3358522.0,3325011.0,3290185.0,3253796.0,3216973.0,3172930.0,3135449.0,3108935.0,3081354.0,3015064.0,2931350.0,2873111.0,2813472.0,2767905.0,2739354.0,2708267.0,2675519.0,2640661.0,2604686.0,2571814.0,2541005.0,2469539.0,2388453.0,2342006.0,2297078.0,2252963.0,2209465.0,2167172.0,2126239.0,2087198.0,2048433.0,2010650.0,1974416.0,1938841.0,1903435.0,1866995.0,1829783.0,1792408.0,1755697.0,1719734.0,1685936.0,1648939.0,1528155.0
Bahrain,28410.0,29492.0,30589.0,31711.0,32860.0,33777.0,34309.0,34797.0,35256.0,35698.0,36110.0,36910.0,38259.0,39768.0,41295.0,42839.0,44389.0,45932.0,47456.0,48947.0,50397.0,51644.0,52666.0,53665.0,54708.0,55795.0,56918.0,58055.0,59189.0,60297.0,61366.0,62488.0,64330.0,66584.0,68865.0,71174.0,73495.0,75824.0,78149.0,80454.0,82726.0,84936.0,87008.0,90410.0,96689.0,104424.0,112129.0,119786.0,127356.0,134705.0,137943.0,137025.0,137659.0,140866.0,145339.0,149849.0,153794.0,157542.0,159339.0,158474.0,155046.0,151858.0,151007.0
"Bahamas, The",46130.0,47541.0,49015.0,50501.0,51847.0,53097.0,54416.0,55796.0,57221.0,58573.0,59535.0,60072.0,60371.0,60512.0,60554.0,60530.0,60495.0,60495.0,60465.0,60377.0,60185.0,59626.0,59040.0,58472.0,57911.0,57367.0,56815.0,56218.0,55596.0,55000.0,54574.0,55027.0,55568.0,56140.0,56624.0,57032.0,57388.0,57704.0,57999.0,58213.0,58480.0,59171.0,59813.0,60475.0,61152.0,61847.0,62563.0,63300.0,64059.0,64833.0,65595.0,66232.0,66738.0,67119.0,67444.0,67756.0,67981.0,68133.0,68224.0,68241.0,68104.0,67855.0,67680.0
Bosnia and Herzegovina,2641352.0,2670708.0,2695206.0,2717133.0,2736068.0,2751973.0,2764446.0,2773061.0,2777892.0,2779408.0,2777690.0,2775027.0,2775223.0,2773377.0,2769384.0,2763658.0,2756036.0,2746427.0,2734736.0,2721328.0,2707078.0,2699075.0,2709425.0,2719778.0,2728894.0,2735665.0,2739867.0,2741885.0,2741237.0,2737359.0,2730338.0,2720432.0,2570270.0,2358060.0,2238361.0,2219674.0,2300493.0,2370280.0,2396816.0,2405883.0,2407974.0,2403780.0,2392506.0,2370935.0,2334584.0,2294239.0,2261084.0,2220323.0,2172020.0,2123495.0,2074833.0,2025863.0,1976850.0,1934707.0,1898380.0,1861795.0,1826891.0,1793080.0,1759737.0,1726532.0,1691724.0,1654279.0,1621904.0
Belarus,5541766.0,5498539.0,5456899.0,5414847.0,5370261.0,5327265.0,5281469.0,5234313.0,5183803.0,5128878.0,5061496.0,4981753.0,4897996.0,4809523.0,4714698.0,4625987.0,4533373.0,4443919.0,4357973.0,4274272.0,4194898.0,4118594.0,4041007.0,3963186.0,3884720.0,3807158.0,3730271.0,3653104.0,3561979.0,3500006.0,3466314.0,3427851.0,3395342.0,3363016.0,3319567.0,3269569.0,3219771.0,3168072.0,3115862.0,3059960.0,2996577.0,2933092.0,2867027.0,2800401.0,2735436.0,2671686.0,2611003.0,2555356.0,2503383.0,2454844.0,2402066.0,2347623.0,2295865.0,2247579.0,2202165.0,2158923.0,2115365.0,2068303.0,2020372.0,1974004.0,1924485.0,1868889.0,1815531.0
Belize,42020.0,43391.0,44814.0,46365.0,48047.0,49818.0,51686.0,53633.0,55634.0,57610.0,59288.0,60555.0,61719.0,62818.0,63887.0,65177.0,66719.0,68290.0,69890.0,71568.0,73475.0,75597.0,77741.0,79898.0,82081.0,84302.0,86558.0,88846.0,91174.0,93538.0,95923.0,98320.0,100746.0,103209.0,105881.0,109055.0,112865.0,117237.0,121915.0,126649.0,131266.0,135510.0,139861.0,144283.0,148772.0,153329.0,157946.0,162616.0,167318.0,172024.0,176424.0,180495.0,184553.0,188606.0,192604.0,196468.0,200204.0,203829.0,207370.0,210633.0,213159.0,215213.0,217242.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,2344558.0,2382156.0,2420613.0,2459925.0,2500005.0,2541040.0,2583020.0,2626042.0,2670156.0,2715435.0,2761688.0,2809116.0,2857635.0,2907229.0,2957921.0,3009287.0,3061445.0,3087149.0,3102847.0,3116959.0,3128979.0,3139103.0,3147014.0,3152976.0,3156973.0,3159674.0,3160879.0,3160917.0,3159607.0,3156924.0,3152342.0,3145804.0,3139596.0,3162725.0,3184047.0,3203241.0,3221153.0,3237796.0,3253531.0,3268951.0,3283512.0,3296749.0,3312530.0,3328768.0,3344495.0,3359918.0,3375431.0,3390940.0,3405346.0,3419056.0,3431952.0,3443860.0,3454705.0,3470209.0,3488305.0,3505243.0,3521044.0,3535867.0,3548811.0,3559929.0,3566167.0,3566464.0,3565773.0
Brazil,39368360.0,39833002.0,40274770.0,40694599.0,41082862.0,41434325.0,41736139.0,41988198.0,42190751.0,42356572.0,42490442.0,42574196.0,42624091.0,42653748.0,42651680.0,42622559.0,42572652.0,42512111.0,42436669.0,42342874.0,42228624.0,42094019.0,41925951.0,41726771.0,41492131.0,41223715.0,40911314.0,40561570.0,40174344.0,39755196.0,39301227.0,38809454.0,38282998.0,37739032.0,37181660.0,36611082.0,36026735.0,35313906.0,34582538.0,33836764.0,33078329.0,32874746.0,32702375.0,32502533.0,32287566.0,32065630.0,31829502.0,31577815.0,31311178.0,31037220.0,30758775.0,30459099.0,30150639.0,29836667.0,29517926.0,29198282.0,28873460.0,28546414.0,28227475.0,27904512.0,27559886.0,27182995.0,26795765.0
